ID,类型,方案,玩法名称,组合编号,总注数,中奖注数,赔率,返水,单注金额,示例,玩法说明,简略说明,奖级,玩法缩写,返水状态
14,定位胆,定位胆,定位胆,1_13_14,10,1,0.980/0.850,0/13%,1,投注方案：万位1[br]开奖号码：万位1，即中定位胆万位,从万、千、百、十、个位任意位置上至少选择一个以上号码，所选号码与相同位置上的开奖号码一致，即为中奖。,至少选择1个号码,,定位胆,0
45,二星,前二直选,复式,2_15_45,100,1,0.980/0.850,0/13%,1,投注方案：58[br]开奖号码：前二位58，即中前二星直选,从万位、千位中选择一个2位数号码组成一注，所选号码与开奖号码的前2位相同，且顺序一致，即为中奖。,竞猜开奖号码的前两位,,前二直选复式,0
47,二星,前二直选,和值A面,2_15_47,100,1,0.980/0.850,0/13%,1,投注方案：和值1[br]开奖号码：前二位01，10，即中前二星直选。,从0-18中任意选择1个或1个以上号码，所选数值等于开奖号码万位、千位两个数字相加之和，即为中奖。,竞猜开奖号码前两位之和,,前二直选和值A面,0
142,二星,前二直选,和值B面,2_15_142,100|100|100|100|100|100|100|100|100|100,1|2|3|4|5|6|7|8|9|10,0.980/0.850,0/13%,1,投注方案：和值1[br]开奖号码：前二位01，10，即中前二星直选。,从0-18中任意选择1个或1个以上号码，所选数值等于开奖号码万位、千位两个数字相加之和，即为中奖。,竞猜开奖号码前两位之和,0，18|1，17|2，16|3，15|4，14|5，13|6，12|7，11|8，10|9,前二直选和值B面,0
46,二星,前二直选,单式,2_15_46,100,1,0.980/0.850,0/13%,1,投注方案：58[br]开奖号码：前二位58，即中前二星直选,手动输入号码，至少输入1个2位数号码组成一注，所输入号码与开奖号码的前2位相同，且顺序一致，即为中奖。,输入2个有效号码组成1注,,前二直选单式,0
48,二星,前二直选,跨度A面,2_15_48,100,1,0.980/0.850,0/13%,1,投注方案：跨度9[br]开奖号码：前二位90或09，即中前二直选。,从0-9中选择1个号码，所选数值等于开奖号码的前2位最大与最小数字相减之差，即为中奖。,竞猜前两位开奖号码之差,,前二跨度A面,0
143,二星,前二直选,跨度B面,2_15_143,100|100|100|100|100|100|100|100|100|100,10|18|16|14|12|10|8|6|4|2,0.980/0.850,0/13%,1,投注方案：跨度9[br]开奖号码：前二位90或09，即中前二直选。,从0-9中选择1个号码，所选数值等于开奖号码的前2位最大与最小数字相减之差，即为中奖。,竞猜前两位开奖号码之差,0|1|2|3|4|5|6|7|8|9,前二跨度B面,0
49,二星,后二直选,复式,2_16_49,100,1,0.980/0.850,0/13%,1,投注方案：58[br]开奖号码：后二位58，即中后二星直选,从十位、个位中选择一个2位数号码组成一注，所选号码与开奖号码的后2位相同，且顺序一致，即为中奖。,竞猜开奖号码的后两位,,后二直选复式,0
51,二星,后二直选,和值A面,2_16_51,100,1,0.980/0.850,0/13%,1,投注方案：和值1[br]开奖号码：后二位01，10，即中后二星直选和值。,从0-18中任意选择1个或1个以上号码，所选数值等于开奖号码十位、个位两个数字相加之和，即为中奖。,竞猜开奖号码后两位之和,,后二直选和值A面,0
144,二星,后二直选,和值B面,2_16_144,100|100|100|100|100|100|100|100|100|100,1|2|3|4|5|6|7|8|9|10,0.980/0.850,0/13%,1,投注方案：和值1[br]开奖号码：后二位01，10，即中后二星直选和值。,从0-18中任意选择1个或1个以上号码，所选数值等于开奖号码十位、个位两个数字相加之和，即为中奖。,竞猜开奖号码后两位之和,0，18|1，17|2，16|3，15|4，14|5，13|6，12|7，11|8，10|9,后二直选和值B面,0
50,二星,后二直选,单式,2_16_50,100,1,0.980/0.850,0/13%,1,投注方案：58[br]开奖号码：后二位58，即中后二星直选,手动输入号码，至少输入1个2位数号码组成一注，所输入号码与开奖号码的后2位相同，且顺序一致，即为中奖。,输入2个有效号码组成1注,,后二直选单式,0
52,二星,后二直选,跨度A面,2_16_52,100,1,0.980/0.850,0/13%,1,投注方案：跨度9[br]开奖号码：后二位90或09，即中后二直选。,从0-9中选择1个号码，所选数值等于开奖号码的后2位最大与最小数字相减之差，即为中奖。,竞猜后两位开奖号码之差,,后二直选跨度A面,0
145,二星,后二直选,跨度B面,2_16_145,100|100|100|100|100|100|100|100|100|100,10|18|16|14|12|10|8|6|4|2,0.980/0.850,0/13%,1,投注方案：跨度9[br]开奖号码：后二位90或09，即中后二直选。,从0-9中选择1个号码，所选数值等于开奖号码的后2位最大与最小数字相减之差，即为中奖。,竞猜后两位开奖号码之差,0|1|2|3|4|5|6|7|8|9,后二直选跨度B面,0
